class,filename,height,width,xmax,xmin,ymax,ymin
calculator,oid_train_calculator00001.jpg,3796,2942,0.816129,0.394355,0.675000,0.250000
calculator,oid_train_calculator00002.jpg,1920,2560,0.721250,0.182500,0.999167,0.150833
pen,oid_train_calculator00002.jpg,1920,2560,0.369375,0.041250,0.730833,0.000000
calculator,oid_train_calculator00003.jpg,4000,3000,0.640000,0.000000,0.999375,0.000000
calculator,oid_train_calculator00004.jpg,3000,2650,0.958245,0.000000,0.999375,0.275000
calculator,oid_train_calculator00005.jpg,2448,3264,0.999375,0.000000,0.999167,0.000000
calculator,oid_train_calculator00006.jpg,3648,5472,0.915625,0.628750,0.999062,0.615385
calculator,oid_train_calculator00007.jpg,640,640,0.982813,0.209375,0.998438,0.535937
calculator,oid_train_calculator00009.jpg,1364,2048,0.422500,0.000000,0.463850,0.000000
calculator,oid_train_calculator00010.jpg,480,640,0.504687,0.078125,0.933333,0.079167
calculator,oid_train_calculator00010.jpg,480,640,0.928125,0.532812,0.920833,0.075000
calculator,oid_train_calculator00011.jpg,2633,2000,0.985185,0.082305,0.920000,0.062500
calculator,oid_train_calculator00012.jpg,2592,3888,0.941875,0.195000,0.916510,0.360225
calculator,oid_train_calculator00013.jpg,3072,2048,0.999062,0.048780,0.976875,0.155625
calculator,oid_train_calculator00014.jpg,3744,5616,0.411250,0.055625,0.439024,0.063790
calculator,oid_train_calculator00015.jpg,3456,5184,0.238750,0.058125,0.715760,0.209193
calculator,oid_train_calculator00015.jpg,3456,5184,0.460625,0.271250,0.721388,0.209193
calculator,oid_train_calculator00015.jpg,3456,5184,0.686250,0.498125,0.715760,0.199812
calculator,oid_train_calculator00015.jpg,3456,5184,0.931250,0.737500,0.721388,0.188555
calculator,oid_train_calculator00016.jpg,1536,2048,0.843125,0.184375,0.733333,0.372500
calculator,oid_train_calculator00017.jpg,2304,3072,0.905625,0.536250,0.833333,0.115833
calculator,oid_train_calculator00018.jpg,2448,3264,0.650625,0.358750,0.966667,0.329167
calculator,oid_train_calculator00020.jpg,960,1280,0.422656,0.006250,0.823958,0.090625
calculator,oid_train_calculator00021.jpg,2336,3504,0.903125,0.089375,0.906191,0.267355
calculator,oid_train_calculator00022.jpg,2420,3644,0.953125,0.019375,0.671375,0.099812
calculator,oid_train_calculator00023.jpg,2304,3072,0.242500,0.068125,0.798333,0.370833
calculator,oid_train_calculator00023.jpg,2304,3072,0.679375,0.389375,0.870000,0.160833
calculator,oid_train_calculator00024.jpg,2236,3072,0.573125,0.001875,0.999141,0.200172
calculator,oid_train_calculator00025.jpg,436,582,0.517182,0.383162,0.997706,0.637615
calculator,oid_train_calculator00025.jpg,436,582,0.683849,0.546392,0.896789,0.497706
calculator,oid_train_calculator00025.jpg,436,582,0.689003,0.546392,0.896789,0.500000
book,oid_train_calculator00025.jpg,436,582,0.946735,0.000000,0.997706,0.000000
calculator,oid_train_calculator00026.jpg,2592,3272,0.999375,0.000000,0.999211,0.000000
calculator,oid_train_calculator00027.jpg,2152,2776,0.453125,0.108750,0.877419,0.082258
calculator,oid_train_calculator00027.jpg,2152,2776,0.852500,0.593750,0.854032,0.288710
calculator,oid_train_calculator00028.jpg,2336,3504,0.485000,0.156250,0.886492,0.175422
calculator,oid_train_calculator00029.jpg,2448,3264,0.727500,0.200000,0.580833,0.171667
calculator,oid_train_calculator00030.jpg,4000,3000,0.863333,0.175833,0.905000,0.206250
calculator,oid_train_calculator00031.jpg,1566,2171,0.946250,0.093125,0.935009,0.180243
calculator,oid_train_calculator00032.jpg,480,640,0.857813,0.073437,0.964583,0.052083
calculator,oid_train_calculator00033.jpg,2268,2676,0.473750,0.095000,0.856195,0.031711
calculator,oid_train_calculator00034.jpg,3456,5184,0.426250,0.000000,0.469043,0.000000
calculator,oid_train_calculator00035.jpg,3000,4000,0.999375,0.380625,0.999167,0.000000
calculator,oid_train_calculator00036.jpg,3271,3768,0.923125,0.073750,0.853026,0.172190
calculator,oid_train_calculator00037.jpg,2736,3648,0.275625,0.081875,0.343333,0.000000
calculator,oid_train_calculator00037.jpg,2736,3648,0.520000,0.286250,0.367500,0.000000
calculator,oid_train_calculator00038.jpg,1025,1342,0.999255,0.000000,0.999024,0.000000
calculator,oid_train_calculator00039.jpg,480,640,0.993750,0.000000,0.997917,0.000000
calculator,oid_train_calculator00040.jpg,2448,3264,0.883125,0.229375,0.982500,0.012500
calculator,oid_train_calculator00041.jpg,575,866,0.375289,0.000000,0.998261,0.067826
calculator,oid_train_calculator00043.jpg,3000,4000,0.999375,0.000000,0.999167,0.000000
calculator,oid_train_calculator00044.jpg,1935,3545,0.999375,0.590000,0.926690,0.002291
calculator,oid_train_calculator00045.jpg,3456,5184,0.991250,0.094375,0.926829,0.142589
calculator,oid_train_calculator00046.jpg,3264,2448,0.847500,0.416667,0.435000,0.062500
calculator,oid_train_calculator00047.jpg,960,1280,0.801562,0.234375,0.902083,0.229167
calculator,oid_train_calculator00048.jpg,1935,3545,0.999375,0.588750,0.930126,0.006873
calculator,oid_train_calculator00048.jpg,1935,3545,0.999375,0.590625,0.930126,0.009164
calculator,oid_train_calculator00049.jpg,1944,2592,0.999375,0.126875,0.999167,0.306667
calculator,oid_train_calculator00050.jpg,480,640,0.409375,0.273438,0.568750,0.260417
calculator,oid_train_calculator00051.jpg,2760,4912,0.887500,0.646875,0.672970,0.157953
calculator,oid_train_calculator00052.jpg,3763,2120,0.953385,0.052164,0.971250,0.038750
calculator,oid_train_calculator00053.jpg,2304,3072,0.999375,0.527500,0.974167,0.020833
calculator,oid_train_calculator00054.jpg,2592,3888,0.999375,0.000000,0.999062,0.000000
calculator,oid_train_calculator00055.jpg,4000,3000,0.772500,0.312500,0.894375,0.160000
calculator,oid_train_calculator00055.jpg,4000,3000,0.765000,0.325833,0.894375,0.158125
calculator,oid_train_calculator00056.jpg,2592,3456,0.546875,0.344375,0.620833,0.317500
calculator,oid_train_calculator00057.jpg,1224,1632,0.821250,0.361250,0.818333,0.185000
calculator,oid_train_calculator00058.jpg,2220,2734,0.879300,0.140088,0.917629,0.295612
calculator,oid_train_calculator00059.jpg,2588,3888,0.878750,0.254375,0.865728,0.207512
calculator,oid_train_calculator00060.jpg,4064,2704,0.999060,0.000000,0.433125,0.000000
calculator,oid_train_calculator00060.jpg,4064,2704,0.791353,0.244361,0.911875,0.414375
calculator,oid_train_calculator00061.jpg,3264,4912,0.716875,0.285625,0.976482,0.045155
calculator,oid_train_calculator00062.jpg,2592,3888,0.837500,0.050625,0.878049,0.234522
calculator,oid_train_calculator00063.jpg,1600,2400,0.890000,0.000000,0.946529,0.000000
calculator,oid_train_calculator00064.jpg,612,612,0.968954,0.039216,0.965686,0.029412
calculator,oid_train_calculator00065.jpg,2448,3264,0.591250,0.011250,0.901667,0.088333
calculator,oid_train_calculator00066.jpg,669,1000,0.473000,0.000000,0.998505,0.431988
calculator,oid_train_calculator00067.jpg,2626,3119,0.448750,0.048750,0.508537,0.043801
calculator,oid_train_calculator00068.jpg,2413,2957,0.964375,0.026875,0.989272,0.017625
calculator,oid_train_calculator00069.jpg,2592,3888,0.835000,0.320000,0.721388,0.342402
calculator,oid_train_calculator00069.jpg,2592,3888,0.677500,0.372500,0.209193,0.000000
calculator,oid_train_calculator00070.jpg,2934,2418,0.864188,0.132018,0.850000,0.069375
calculator,oid_train_calculator00071.jpg,2758,3196,0.398750,0.148750,0.739855,0.213768
calculator,oid_train_calculator00072.jpg,3264,2448,0.590833,0.235000,0.839375,0.348125
calculator,oid_train_calculator00073.jpg,640,640,0.879687,0.109375,0.998438,0.082813
calculator,oid_train_calculator00074.jpg,2000,3008,0.999375,0.000000,0.999059,0.000000
calculator,oid_train_calculator00075.jpg,4672,3104,0.989652,0.000000,0.848750,0.183750
calculator,oid_train_calculator00076.jpg,2448,3264,0.526250,0.000000,0.798333,0.038333
calculator,oid_train_calculator00077.jpg,615,410,0.856098,0.124390,0.915447,0.079675
calculator,oid_train_calculator00078.jpg,2656,1768,0.896714,0.137089,0.947500,0.086875
calculator,oid_train_calculator00079.jpg,4432,3326,0.999167,0.000000,0.999375,0.033750
book,oid_train_calculator00080.jpg,1944,2592,0.896250,0.298125,0.952500,0.575833
calculator,oid_train_calculator00080.jpg,1944,2592,0.362500,0.213750,0.532500,0.295000
book,oid_train_calculator00080.jpg,1944,2592,0.710000,0.400000,0.579167,0.256667
calculator,oid_train_calculator00081.jpg,1006,1570,0.959236,0.000000,0.999006,0.000000
calculator,oid_train_calculator00082.jpg,352,288,0.715278,0.204861,0.829545,0.329545
calculator,oid_train_calculator00083.jpg,3072,2304,0.851667,0.065833,0.933750,0.093125
calculator,oid_train_calculator00083.jpg,3072,2304,0.847500,0.068333,0.932500,0.090000
calculator,oid_train_calculator00084.jpg,2448,3264,0.631250,0.076250,0.714167,0.000000
calculator,oid_train_calculator00085.jpg,480,640,0.359375,0.090625,0.466667,0.229167
calculator,oid_train_calculator00086.jpg,3264,4928,0.668125,0.197500,0.693107,0.170916
calculator,oid_train_calculator00087.jpg,2448,3264,0.406250,0.076875,0.635833,0.070833
calculator,oid_train_calculator00088.jpg,685,1024,0.951172,0.049805,0.927007,0.072993
calculator,oid_train_calculator00089.jpg,2592,3888,0.845000,0.117500,0.999062,0.140713
calculator,oid_train_calculator00090.jpg,2448,3264,0.999375,0.228125,0.453333,0.000000
calculator,oid_train_calculator00091.jpg,1688,2988,0.510000,0.019375,0.929125,0.135105
calculator,oid_train_calculator00092.jpg,333,500,0.998000,0.008000,0.990991,0.009009
calculator,oid_train_calculator00093.jpg,2164,3072,0.278750,0.095625,0.727595,0.209405
calculator,oid_train_calculator00093.jpg,2164,3072,0.698125,0.440625,0.880213,0.145519
calculator,oid_train_calculator00094.jpg,2448,3264,0.485000,0.132500,0.901667,0.064167
calculator,oid_train_calculator00095.jpg,2054,2346,0.458750,0.013125,0.962857,0.042143
calculator,oid_train_calculator00096.jpg,2592,3872,0.695625,0.002500,0.999066,0.612512
calculator,oid_train_calculator00097.jpg,2656,1768,0.457277,0.014085,0.508750,0.115625
calculator,oid_train_calculator00097.jpg,2656,1768,0.455399,0.116432,0.921875,0.520625
calculator,oid_train_calculator00097.jpg,2656,1768,0.896714,0.575587,0.448750,0.103750
calculator,oid_train_calculator00097.jpg,2656,1768,0.929577,0.585916,0.921875,0.530625
